id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
4574082,"Entire cozy house, 5 rooms/PET friendly!",8264792,Sheila,,Hilltop,39.72216,-104.90396,Entire home/apt,241,3,171,2024-06-09,1.48,1,283,7,2017-BFN-0007462
4581251,Cozy Cap Hill condo *min 30 day or longer stay,23747225,Lacey,,Capitol Hill,39.73483,-104.9757,Entire home/apt,68,30,29,2024-05-22,0.27,1,81,4,
4617226,Warm & inviting home in a great location - 2B/2B,3807039,Josh,,Washington Virginia Vale,39.70648,-104.9293,Private room,146,2,100,2024-06-23,1.87,2,45,17,2019-BFN-0010723
4637460,Charming Victorian in Curtis Park,10843433,Edric,,Five Points,39.75415,-104.98173,Entire home/apt,178,3,67,2024-05-13,0.58,1,104,15,2017-BFN-0002639
4638352,Cozy Studio in Denver's BEST Neighborhood Berkeley,11850286,Portia,,West Highland,39.76902,-105.04846,Entire home/apt,105,2,498,2024-06-22,4.39,1,183,61,2016-BFN-0007165
4671545,"WIN! Best location,Quiet*Balcony,nosmoking,CLEAN!",4087056,Jeanne,,City Park West,39.74245,-104.9681,Entire home/apt,61,30,46,2024-05-21,0.41,6,333,3,
4692668,House in front of Washington Park,24260044,Patricio,,Washington Park,39.70212,-104.97209,Entire home/apt,261,2,57,2024-06-10,1.77,1,18,27,2021-BFN-0008287
4727890,Denver's Santa Fe Arts District,5910663,Tony,,Lincoln Park,39.72644,-104.9963,Entire home/apt,100,30,73,2022-07-12,0.64,2,236,0,
4775222,"RiNo Art, King tempurpedic, yard, 95 walk score",6433351,Kevin,,Five Points,39.76312,-104.979,Entire home/apt,273,2,124,2024-06-25,1.32,1,114,17,2022-BFN-0005021
4856179,3BR with En-Suites,24981544,Michael,,West Colfax,39.73524008064244,-105.03669702382467,Entire home/apt,190,30,0,,,2,87,0,
4951295,Urban Nest in heart of Denver,34955862,Scott,,City Park West,39.74205,-104.96191,Entire home/apt,218,2,391,2024-06-23,3.66,36,338,46,2017-BFN-0001694
